ID,Project_ID,WPCode,Title,PlannedHours,ActualHours,AssignedTo_ID,Status
66666666-6666-4666-8666-666666666666,44444444-4444-4444-8444-444444444444,WP001,UI Development,120,40,11111111-1111-4111-8111-111111111111,IN_PROGRESS
77777777-7777-4777-8777-777777777777,44444444-4444-4444-8444-444444444444,WP002,Backend APIs,200,60,22222222-2222-4222-8222-222222222222,IN_PROGRESS
88888888-8888-4888-8888-888888888888,55555555-5555-4555-8555-555555555555,WP003,Testing Module,100,0,11111111-1111-4111-8111-111111111111,OPEN
99999999-8888-4888-8888-999999999999,66666666-5555-4555-8555-666666666666,WP004,Authentication,140,30,44444444-1111-4111-8111-444444444444,IN_PROGRESS
aaaaaaaa-8888-4888-8888-aaaaaaaaaaaa,77777777-5555-4555-8555-777777777777,WP005,Inventory APIs,180,0,22222222-2222-4222-8222-222222222222,OPEN
bbbbbbbb-8888-4888-8888-bbbbbbbbbbbb,88888888-5555-4555-8555-888888888888,WP006,Claims Processing,220,120,77777777-1111-4111-8111-777777777777,IN_PROGRESS
cccccccc-8888-4888-8888-cccccccccccc,99999999-5555-4555-8555-999999999999,WP007,Student Dashboard,160,80,88888888-1111-4111-8111-888888888888,IN_PROGRESS
dddddddd-8888-4888-8888-dddddddddddd,aaaaaaaa-5555-4555-8555-aaaaaaaaaaaa,WP008,Flight Booking UI,130,0,44444444-1111-4111-8111-444444444444,OPEN
eeeeeeee-8888-4888-8888-eeeeeeeeeeee,bbbbbbbb-5555-4555-8555-bbbbbbbbbbbb,WP009,Patient Records,260,140,99999999-1111-4111-8111-999999999999,IN_PROGRESS
ffffffff-8888-4888-8888-ffffffffffff,cccccccc-5555-4555-8555-cccccccccccc,WP010,CRM Analytics,150,90,66666666-1111-4111-8111-666666666666,IN_PROGRESS
