ID,ProjectCode,Name,Client,StartDate,EndDate,Budget,BudgetConsumed,Status,ProjectManager_ID
44444444-4444-4444-8444-444444444444,PRJ001,Mobile Banking App,ABC Bank,2026-05-20,2026-09-30,1000000,34500,IN_PROGRESS,33333333-3333-4333-8333-333333333333
55555555-5555-4555-8555-555555555555,PRJ002,E-Commerce Portal,XYZ Retail,2026-06-01,2026-10-31,1500000,0,PLANNED,22222222-2222-4222-8222-222222222222
66666666-5555-4555-8555-666666666666,PRJ003,HR Management System,TechSoft,2026-04-01,2026-08-15,800000,120000,IN_PROGRESS,44444444-1111-4111-8111-444444444444
77777777-5555-4555-8555-777777777777,PRJ004,Inventory Tracker,LogiCorp,2026-07-01,2026-12-31,600000,0,PLANNED,55555555-1111-4111-8111-555555555555
88888888-5555-4555-8555-888888888888,PRJ005,Insurance Portal,SafeLife,2026-03-01,2026-09-30,1200000,450000,IN_PROGRESS,33333333-3333-4333-8333-333333333333
99999999-5555-4555-8555-999999999999,PRJ006,Education Platform,LearnHub,2026-05-10,2026-11-20,950000,220000,IN_PROGRESS,77777777-1111-4111-8111-777777777777
aaaaaaaa-5555-4555-8555-aaaaaaaaaaaa,PRJ007,Travel Booking App,FlyAway,2026-06-15,2026-12-15,700000,0,PLANNED,88888888-1111-4111-8111-888888888888
bbbbbbbb-5555-4555-8555-bbbbbbbbbbbb,PRJ008,Healthcare System,Medicare,2026-01-15,2026-10-30,2000000,900000,IN_PROGRESS,99999999-1111-4111-8111-999999999999
cccccccc-5555-4555-8555-cccccccccccc,PRJ009,CRM Upgrade,SalesPro,2026-02-01,2026-07-31,500000,300000,IN_PROGRESS,66666666-1111-4111-8111-666666666666
dddddddd-5555-4555-8555-dddddddddddd,PRJ010,Warehouse Automation,MoveIT,2026-08-01,2027-01-31,1750000,0,PLANNED,aaaaaaaa-2222-4222-8222-aaaaaaaaaaaa
