ID,Timesheet_ID,WorkPackage_ID,EntryDate,Hours,Description
bbbbbbbb-1111-4111-8111-bbbbbbbbbbbb,99999999-9999-4999-8999-999999999999,66666666-6666-4666-8666-666666666666,2026-05-12,8,Worked on Login UI
cccccccc-1111-4111-8111-cccccccccccc,99999999-9999-4999-8999-999999999999,66666666-6666-4666-8666-666666666666,2026-05-13,7,Worked on Dashboard UI
dddddddd-1111-4111-8111-dddddddddddd,99999999-9999-4999-8999-999999999999,77777777-7777-4777-8777-777777777777,2026-05-14,8,Worked on APIs
eeeeeeee-1111-4111-8111-eeeeeeeeeeee,aaaaaaaa-1111-4111-8111-aaaaaaaaaaaa,77777777-7777-4777-8777-777777777777,2026-05-12,9,Backend development
ffffffff-1111-4111-8111-ffffffffffff,aaaaaaaa-1111-4111-8111-aaaaaaaaaaaa,77777777-7777-4777-8777-777777777777,2026-05-13,8,API integration
11111111-3333-4333-8333-111111111111,bbbbbbbb-2222-4222-8222-bbbbbbbbbbbb,99999999-8888-4888-8888-999999999999,2026-05-19,8,Authentication module
22222222-3333-4333-8333-222222222222,cccccccc-2222-4222-8222-cccccccccccc,aaaaaaaa-8888-4888-8888-aaaaaaaaaaaa,2026-05-20,9,Inventory API work
33333333-3333-4333-8333-333333333333,dddddddd-2222-4222-8222-dddddddddddd,bbbbbbbb-8888-4888-8888-bbbbbbbbbbbb,2026-05-26,8,Claims processing
44444444-3333-4333-8333-444444444444,eeeeeeee-2222-4222-8222-eeeeeeeeeeee,cccccccc-8888-4888-8888-cccccccccccc,2026-05-27,6,Student dashboard
55555555-3333-4333-8333-555555555555,ffffffff-2222-4222-8222-ffffffffffff,eeeeeeee-8888-4888-8888-eeeeeeeeeeee,2026-06-02,8,Patient records
