ID,TimesheetNo,Employee_ID,WeekStartDate,Status,TotalHours,ApprovalComments,createdAt,createdBy,modifiedAt,modifiedBy
99999999-9999-4999-8999-999999999999,TMS001,11111111-1111-4111-8111-111111111111,2026-05-12,DRAFT,23,,2026-05-12T09:00:00Z,ram,2026-05-12T09:00:00Z,ram
aaaaaaaa-1111-4111-8111-aaaaaaaaaaaa,TMS002,22222222-2222-4222-8222-222222222222,2026-05-12,SUBMITTED,35,Looks good,2026-05-12T09:00:00Z,priya,2026-05-13T10:00:00Z,john
bbbbbbbb-2222-4222-8222-bbbbbbbbbbbb,TMS003,44444444-1111-4111-8111-444444444444,2026-05-19,APPROVED,38,Approved,2026-05-19T09:00:00Z,priya,2026-05-20T10:00:00Z,john
cccccccc-2222-4222-8222-cccccccccccc,TMS004,55555555-1111-4111-8111-555555555555,2026-05-19,REJECTED,42,Please correct overtime,2026-05-19T09:00:00Z,vikram,2026-05-20T10:00:00Z,john
dddddddd-2222-4222-8222-dddddddddddd,TMS005,66666666-1111-4111-8111-666666666666,2026-05-26,SUBMITTED,36,Pending review,2026-05-26T09:00:00Z,sneha,2026-05-27T10:00:00Z,john
eeeeeeee-2222-4222-8222-eeeeeeeeeeee,TMS006,77777777-1111-4111-8111-777777777777,2026-05-26,DRAFT,18,,2026-05-26T09:00:00Z,karthik,2026-05-27T10:00:00Z,karthik
ffffffff-2222-4222-8222-ffffffffffff,TMS007,88888888-1111-4111-8111-888888888888,2026-06-02,SUBMITTED,40,Ready for approval,2026-06-02T09:00:00Z,meena,2026-06-03T10:00:00Z,john
11111111-2222-4222-8222-111111111111,TMS008,99999999-1111-4111-8111-999999999999,2026-06-02,APPROVED,37,Approved,2026-06-02T09:00:00Z,rajesh,2026-06-03T10:00:00Z,john
22222222-2222-4222-8222-222222222223,TMS009,aaaaaaaa-2222-4222-8222-aaaaaaaaaaaa,2026-06-09,DRAFT,20,,2026-06-09T09:00:00Z,divya,2026-06-09T10:00:00Z,divya
33333333-2222-4222-8222-333333333333,TMS010,11111111-1111-4111-8111-111111111111,2026-06-09,SUBMITTED,39,Under review,2026-06-09T09:00:00Z,ram,2026-06-10T10:00:00Z,john
